iteration,reward_mean,length_mean,games,loss
500,-0.89,2.11,9,429655.05990600586
1000,-0.89,2.11,9,69.40995877981186
1500,-0.89,2.11,9,7.227890697307885
2000,-0.9,2.1,10,1.6227669526124373
2500,-1.0,2.0,9,0.9623055289848708
3000,-1.0,2.0,10,0.6115943056065589
3500,-1.0,2.0,10,0.33389923931099474
4000,-0.92,2.08,12,0.32497558403701987
4500,-1.0,2.0,8,0.23018375966057647
5000,-1.0,2.0,8,0.19161262351553887
5500,-1.0,2.0,9,0.15699939389014617
6000,-1.0,2.0,11,0.20566295947355684
6500,-1.0,2.0,9,0.09992849059926812
7000,-1.0,2.0,10,0.10578796845220495
7500,-1.0,2.0,8,0.10605933589249616
8000,-1.0,2.0,9,0.1331561981642153
